"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://forgegrowth.ai/","text/html; charset=utf-8","200","OK","Indexable","","SEO Consulting for Service Businesses","37","344","SEO consulting for service businesses focused on calls, booked work, and repeatable demand. Strategy, execution, and systems built for how search actually works today.","167","1048","","0","Search Should Fill Your Schedule.","33","Growth Shouldn't Feel This Hard","31","We Build Demand, Not Campaigns","30","","","","https://forgegrowth.ai/","","","","","","150186","22413","22413","8.586","","928","203","4.571","64.902","Normal","4.250","0","0","","18","9","0","100.000","25","9","0","6","1","0","","","","","6d0542553dc59cab6198c0f5838a83d9","0.000","","","","","en","1.1","","","","","","https://forgegrowth.ai/","2026-02-23 12:36:26"
"https://forgegrowth.ai/_next/static/chunks/784cb21f2f0f2502.css?dpl=dpl_BJgKtkERfXSeQdrci3hvCHZZNkua","text/css; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.210","Mon, 23 Feb 2026 19:36:26 GMT","","","","","1.1","","","","","","https://forgegrowth.ai/_next/static/chunks/784cb21f2f0f2502.css?dpl=dpl_BJgKtkERfXSeQdrci3hvCHZZNkua","2026-02-23 12:36:26"
"https://forgegrowth.ai/_next/static/chunks/7bfdce094a3d3761.js?dpl=dpl_BJgKtkERfXSeQdrci3hvCHZZNkua","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.235","Mon, 23 Feb 2026 19:36:27 GMT","","","","","1.1","","","","","","https://forgegrowth.ai/_next/static/chunks/7bfdce094a3d3761.js?dpl=dpl_BJgKtkERfXSeQdrci3hvCHZZNkua","2026-02-23 12:36:26"
"https://forgegrowth.ai/_next/static/chunks/2473c16c0c2f6b5f.css?dpl=dpl_BJgKtkERfXSeQdrci3hvCHZZNkua","text/css; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.113","Wed, 18 Feb 2026 22:33:02 GMT","","","","","1.1","","","","","","https://forgegrowth.ai/_next/static/chunks/2473c16c0c2f6b5f.css?dpl=dpl_BJgKtkERfXSeQdrci3hvCHZZNkua","2026-02-23 12:36:27"
"https://forgegrowth.ai/_next/static/chunks/92685c474fa2a3a7.js?dpl=dpl_BJgKtkERfXSeQdrci3hvCHZZNkua","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.274","Mon, 23 Feb 2026 19:36:27 GMT","","","","","1.1","","","","","","https://forgegrowth.ai/_next/static/chunks/92685c474fa2a3a7.js?dpl=dpl_BJgKtkERfXSeQdrci3hvCHZZNkua","2026-02-23 12:36:27"
"https://forgegrowth.ai/contact","text/html; charset=utf-8","200","OK","Indexable","","Contact Us | Forge Growth","25","234","Get in touch with the Forge Growth team. Submit a contact form or book a strategy call online.","94","582","","0","Get in Touch","12","","0","","0","","","","https://forgegrowth.ai/contact","","","","","","35154","6214","6214","2.380","","59","18","3.278","78.759","Fairly Easy","2.478","1","0","","19","9","0","100.000","20","9","0","4","3","0","","","","","92e101f03bac4d4b76012826fbdab3bc","0.281","","","","","en","1.1","","","","","","https://forgegrowth.ai/contact","2026-02-23 12:36:27"
"https://forgegrowth.ai/_next/static/chunks/b0ba824242d0f046.js?dpl=dpl_BJgKtkERfXSeQdrci3hvCHZZNkua","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.136","Wed, 18 Feb 2026 22:33:02 GMT","","","","","1.1","","","","","","https://forgegrowth.ai/_next/static/chunks/b0ba824242d0f046.js?dpl=dpl_BJgKtkERfXSeQdrci3hvCHZZNkua","2026-02-23 12:36:27"
"https://forgegrowth.ai/privacy-policy","text/html; charset=utf-8","200","OK","Indexable","","Privacy Policy | Forge Growth","29","259","Our privacy policy details how we collect, use, and protect your personal information.","86","522","","0","Privacy Policy","14","Introduction","12","Information We Collect","22","","","","https://forgegrowth.ai/privacy-policy","","","","","","38795","7360","7360","2.819","","518","92","5.630","46.619","Hard","10.164","1","0","","17","9","0","100.000","20","9","0","2","1","0","","","","","60634da14200dbd1bc421dc95bbd0f3d","0.701","","","","","en","1.1","","","","","","https://forgegrowth.ai/privacy-policy","2026-02-23 12:36:26"
"https://forgegrowth.ai/_next/static/chunks/13b1a73744b01fb5.js?dpl=dpl_BJgKtkERfXSeQdrci3hvCHZZNkua","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","884","884","884","0.339","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.169","Mon, 23 Feb 2026 19:36:27 GMT","","","","","1.1","","","","","","https://forgegrowth.ai/_next/static/chunks/13b1a73744b01fb5.js?dpl=dpl_BJgKtkERfXSeQdrci3hvCHZZNkua","2026-02-23 12:36:27"
"https://forgegrowth.ai/services/seo","text/html; charset=utf-8","200","OK","Indexable","","Local SEO Services for Service Businesses | Forge Growth","56","514","SEO built for service businesses. Capture demand across search, maps, and AI discovery. Generate calls and booked work, not just rankings.","138","864","","0","Visibility Where Buyers Already Act","35","Demand Capture, Not Rankings","28","Where Urgency and Proximity Intersect","37","","","","https://forgegrowth.ai/services/seo","","","","","","72404","11595","11595","4.442","","500","89","5.618","56.636","Fairly Hard","5.236","1","1","","29","9","0","100.000","24","9","0","4","1","0","","","","","5fa36b3e8d0478ecaa9e1b118cc754ec","0.836","","","","","en","1.1","","","","","","https://forgegrowth.ai/services/seo","2026-02-23 12:36:26"
"https://forgegrowth.ai/_next/static/chunks/655a9173ac182ec9.js?dpl=dpl_BJgKtkERfXSeQdrci3hvCHZZNkua","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.123","Wed, 18 Feb 2026 22:33:02 GMT","","","","","1.1","","","","","","https://forgegrowth.ai/_next/static/chunks/655a9173ac182ec9.js?dpl=dpl_BJgKtkERfXSeQdrci3hvCHZZNkua","2026-02-23 12:36:27"
"https://forgegrowth.ai/services/ppc","text/html; charset=utf-8","200","OK","Indexable","","Pay-Per-Click (PPC) Management for Service Businesses | Forge Growth","68","644","PPC that captures high-intent searchers ready to hire. Control your budget, timing, and lead volume. Use early for leads or later for scale.","140","838","","0","Immediate Demand Capture","24","PPC Fits Specific Situations","28","When PPC Makes Sense","20","","","","https://forgegrowth.ai/services/ppc","","","","","","83256","13078","13078","5.010","","572","98","5.837","63.066","Normal","4.921","1","1","","29","9","0","100.000","23","9","0","4","1","0","","","","","df8129b7dcf14a1d93456351adc568a7","0.847","","","","","en","1.1","","","","","","https://forgegrowth.ai/services/ppc","2026-02-23 12:36:26"
