"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.veteransplumbingcorp.com/","text/html;charset=utf-8","200","OK","Indexable","","Plumbing Services in Boise | Plumber Boise Idaho | Veterans Plumbing","68","626","Looking for superior plumbing in Boise, Idaho? Visit Veterans Plumbing Corp for more information on  plumber services. Call us at 208-250-2525.","143","887","water heater repair boise,water heater replacement boise,tankless water heater installation boise id,water softener boise,Boise water softener,water softeners boise,service water treatment boise id,boise water treatment installation,boise water leak detection,water heater leaking boise id","289","Plumbing & Water Softener Services in Boise","43","","0","The Most Trusted Plumbers In Boise Idaho Are Here For You","57","Water Treatment And Plumbing Boise ID Residents Trust","53","","","","https://www.veteransplumbingcorp.com/","","","","","","183525","45687","45687","17.502","","2136","324","6.593","58.589","Fairly Hard","7.680","0","0","","64","14","0","100.000","54","12","0","1","1","0","","","","","f2ad0ee2e3b3226f45d7eaf0b3946bec","0.086","","","","","en","1.1","","","","","","https://www.veteransplumbingcorp.com/","2026-02-23 17:56:48"
"https://www.veteransplumbingcorp.com/contact-us","text/html;charset=utf-8","200","OK","Indexable","","Veterans Plumbing Corp | Water Softeners Boise | Contact Us","59","546","Contact our water softeners Boise experts today to learn more about our services. We look forward on working with you!","118","742","water heater repair boise,water heater replacement boise,tankless water heater installation boise id,water softener boise,Boise water softener,water softeners boise,service water treatment boise id,boise water treatment installation,boise water leak detection,water heater leaking boise id","289","Contact Veterans Plumbing Today!","32","","0","","0","","0","","","","https://www.veteransplumbingcorp.com/contact-us","","","","","","146636","32956","32956","12.625","","341","60","5.683","82.229","Easy","1.658","1","0","","60","14","0","100.000","33","12","0","1","1","0","","","","","e6f4d56a3970e9aaf5a4b0950d2e18ca","0.106","","","","","en","1.1","","","","","","https://www.veteransplumbingcorp.com/contact-us","2026-02-23 17:56:50"
"https://www.veteransplumbingcorp.com/hot-water-heater-meridian","text/html;charset=utf-8","200","OK","Indexable","","Hot Water Heaters & Plumbing in Meridian, ID | Veterans Plumbing Corp","69","638","Veterans Plumbing Corp provides hot water heater installation & service in Meridian, Idaho. Visit our website or contact us today for more information.","151","925","hot water heater meridian,meridian water heater replacement,water heater installation meridian id,meridian water softener replacement,water softener installation meridian id,water softener replacement meridian,meridian water softener installation","246","High-Quality Water Heaters in Meridian","38","","0","High-Quality Hot Water Heater Meridian People Swear By","54","The Best Water Heater Installation Meridian ID has To Offer","59","","","","https://www.veteransplumbingcorp.com/hot-water-heater-meridian","","","","","","111340","26938","26938","10.319","","1180","161","7.329","64.394","Normal","6.732","1","0","","36","14","0","100.000","42","12","0","1","1","0","","","","","b7fad60dc02cd73559d82ec9d0cdaad7","0.089","","","","","en","1.1","","","","","","https://www.veteransplumbingcorp.com/hot-water-heater-meridian","2026-02-23 17:56:50"
"https://www.veteransplumbingcorp.com/Water-Softener-System","text/html;charset=utf-8","200","OK","Indexable","","Water Softener Systems Boise Idaho | Veterans Plumbing","54","512","Veterans Plumbing Corp is an expert for water softeners installations in Boise, Idaho. Visit us for water softener installation services. Call 208-250-2525.","156","936","Water Softener System","21","Veterans Plumbing Offers the Water Softener Boise People Trust","62","","0","Water Softener Systems in Boise","31","Best-In Boise Water Softener, Heaters, and Treatment Services","61","","","","https://www.veteransplumbingcorp.com/Water-Softener-System","","","","","","143284","32539","32539","12.465","","1981","239","8.289","61.849","Normal","8.842","1","0","","56","14","0","100.000","44","12","0","1","1","0","","","","","aeb729728cd733b035b88a11050c8a8f","0.090","","","","","en","1.1","","","","","","https://www.veteransplumbingcorp.com/Water-Softener-System","2026-02-23 17:56:50"
"https://www.veteransplumbingcorp.com/water-softeners-Kuna-id","text/html;charset=utf-8","200","OK","Indexable","","Water Softeners & Systems in Kuna, ID | Veterans Plumbing Corp","62","577","If you need a water softener or water softener service in Kuna, Idaho, visit Veterans Plumbing Corp. Contact us today for information on water softeners!","153","941","water heater kuna, id,water softeners Kuna id,Kuna idaho water treatment","72","Water Softener Systems & Service in Kuna","40","","0","Water Softeners Kuna ID People Trust","36","Superior Services for Any Water Heater Kuna ID Residents Have","61","","","","https://www.veteransplumbingcorp.com/water-softeners-Kuna-id","","","","","","105272","25319","25319","9.699","","620","91","6.813","67.425","Normal","4.024","1","0","","35","14","0","100.000","37","12","0","1","1","0","","","","","40fcf10af93fc46a9aaebc5ea71d9563","0.095","","","","","en","1.1","","","","","","https://www.veteransplumbingcorp.com/water-softeners-Kuna-id","2026-02-23 17:56:51"
"https://www.veteransplumbingcorp.com/Residential-Plumbing-Services","text/html;charset=utf-8","200","OK","Indexable","","Residential Plumbing Services in Boise, ID | Veterans Plumbing Corp","67","605","If you are looking for reliable residential plumbing services in Boise, Idaho, call Veterans Plumbing Corp. Visit our website for information on our services.","158","935","Residential Plumbing Services","29","Residential Plumbing Services in Boise","38","","0","Professional Residential Plumbing Services in Boise, ID","55","","0","","","","https://www.veteransplumbingcorp.com/Residential-Plumbing-Services","","","","","","110807","26210","26210","10.041","","758","115","6.591","69.115","Normal","4.642","1","0","","56","14","0","100.000","37","12","0","1","1","0","","","","","3acd2c25c47b9096efa61f52ecbfd45d","0.102","","","","","en","1.1","","","","","","https://www.veteransplumbingcorp.com/Residential-Plumbing-Services","2026-02-23 17:56:51"
"https://www.veteransplumbingcorp.com/sitemap","text/html;charset=utf-8","200","OK","Indexable","","Veterans Plumbing Corp | Water Softeners Boise | Sitemap","56","523","Sitemap for our Boise Plumbing experts today to learn more about our services. We look forward on working with you!","115","725","water heater repair boise,water heater replacement boise,tankless water heater installation boise id,water softener boise,Boise water softener,water softeners boise,service water treatment boise id,boise water treatment installation,boise water leak detection,water heater leaking boise id","289","","0","","0","","0","","0","","","","https://www.veteransplumbingcorp.com/sitemap","","","","","","100331","23632","23632","9.053","","152","48","3.167","85.626","Easy","1.339","1","0","","18","14","0","100.000","46","14","0","1","1","0","","","","","2efbaed4d28cb3b2a2ba9312a51a9540","0.098","","","","","en","1.1","","","","","","https://www.veteransplumbingcorp.com/sitemap","2026-02-23 17:56:51"
"https://www.veteransplumbingcorp.com/water-softener-eagle-idaho","text/html;charset=utf-8","200","OK","Indexable","","Water Softener Systems in Eagle, ID | Veterans Plumbing Corp","60","553","Looking for water softeners & water softener services in Eagle, Idaho? Visit Veterans Plumbing Corp to explore all of our amazing water softener services.","154","944","water heater repair eagle id,water softener eagle idaho,water leak repair eagle idaho","85","Water Softeners & Softener Systems in Eagle","43","","0","Top-Notch Water Softener Eagle Idaho Clients Recommend","54","High-Quality Water Heater Repair Eagle ID People Boast About","60","","","","https://www.veteransplumbingcorp.com/water-softener-eagle-idaho","","","","","","104867","25344","25344","9.709","","700","102","6.863","74.057","Fairly Easy","4.308","1","0","","35","14","0","100.000","38","12","0","1","1","0","","","","","514b40e69d4b5b92ad6615446644924d","0.086","","","","","en","1.1","","","","","","https://www.veteransplumbingcorp.com/water-softener-eagle-idaho","2026-02-23 17:56:51"
"https://www.veteransplumbingcorp.com/Tankless-Water-Heater","text/html;charset=utf-8","200","OK","Indexable","","Tankless Water Heater Installation Service Boise | Veterans Plumbing","68","620","Veterans Plumbing Corp offers tankless water heater installation, service, & more in Boise, Idaho. For more information, call us today at 208-250-2525.","151","926","Tankless Water Heater","21","The Best Boise Tankless Water Heater Installation Resident Can Buy","66","","0","Tankless Water Heaters in Boise","31","Benefits of Having a Boise Tankless Water Heater Installation In Your Home","74","","","","https://www.veteransplumbingcorp.com/Tankless-Water-Heater","","","","","","128426","29305","29305","11.226","","1341","171","7.842","65.320","Normal","6.665","1","0","","54","14","0","100.000","43","12","0","1","1","0","","","","","2f1e437c32ce5d7a750d4f25e499f8ea","0.087","","","","","en","1.1","","","","","","https://www.veteransplumbingcorp.com/Tankless-Water-Heater","2026-02-23 17:56:51"
"https://www.veteransplumbingcorp.com/about-us","text/html;charset=utf-8","200","OK","Indexable","","Veterans Plumbing Corp | Boise Water Softener | About Us","56","519","We take pride on having the best Boise water softener in town. Our clients expect only the best results from us. Call us now!","125","757","water heater repair boise,water heater replacement boise,tankless water heater installation boise id,water softener boise,Boise water softener,water softeners boise,service water treatment boise id,boise water treatment installation,boise water leak detection,water heater leaking boise id","289","Veterans Plumbing A Top Plumbing Provider","41","Our Team","8","","0","","0","","","","https://www.veteransplumbingcorp.com/about-us","","","","","","119409","26971","26971","10.332","","425","97","4.381","75.786","Fairly Easy","2.549","1","0","","49","14","0","100.000","43","12","0","1","1","0","","","","","8a9453b2b0ef22fee7387948735509f4","0.276","","","","","en","1.1","","","","","","https://www.veteransplumbingcorp.com/about-us","2026-02-23 17:56:51"
