"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://www.veteransplumbingcorp.com/","1","Plumbing Services in Boise | Plumber Boise Idaho | Veterans Plumbing","68","626","Indexable",""
"https://www.veteransplumbingcorp.com/contact-us","1","Veterans Plumbing Corp | Water Softeners Boise | Contact Us","59","546","Indexable",""
"https://www.veteransplumbingcorp.com/hot-water-heater-meridian","1","Hot Water Heaters & Plumbing in Meridian, ID | Veterans Plumbing Corp","69","638","Indexable",""
"https://www.veteransplumbingcorp.com/Water-Softener-System","1","Water Softener Systems Boise Idaho | Veterans Plumbing","54","512","Indexable",""
"https://www.veteransplumbingcorp.com/water-softeners-Kuna-id","1","Water Softeners & Systems in Kuna, ID | Veterans Plumbing Corp","62","577","Indexable",""
"https://www.veteransplumbingcorp.com/Residential-Plumbing-Services","1","Residential Plumbing Services in Boise, ID | Veterans Plumbing Corp","67","605","Indexable",""
"https://www.veteransplumbingcorp.com/sitemap","1","Veterans Plumbing Corp | Water Softeners Boise | Sitemap","56","523","Indexable",""
"https://www.veteransplumbingcorp.com/water-softener-eagle-idaho","1","Water Softener Systems in Eagle, ID | Veterans Plumbing Corp","60","553","Indexable",""
"https://www.veteransplumbingcorp.com/Tankless-Water-Heater","1","Tankless Water Heater Installation Service Boise | Veterans Plumbing","68","620","Indexable",""
"https://www.veteransplumbingcorp.com/about-us","1","Veterans Plumbing Corp | Boise Water Softener | About Us","56","519","Indexable",""
"https://www.veteransplumbingcorp.com/Water-Heater-Replacement","1","Water Heater Replacement & Services Boise, ID | Veterans Plumbing Corp","70","655","Indexable",""
"https://www.veteransplumbingcorp.com/water-softeners-nampa-idaho","1","Water Softener Systems & Service in Nampa, ID | Veterans Plumbing","65","610","Indexable",""
"https://www.veteransplumbingcorp.com/thank-you","1","Plumber Boise Idaho | Veterans Plumbing | Thank You","51","479","Indexable",""
"https://www.veteransplumbingcorp.com/privacy-policy","1","Veterans Plumbing Corp | Water Softeners Boise | Privacy Policy","63","571","Indexable",""
