"Address","Occurrences","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","HTTP Canonical","Indexability","Indexability Status"
"https://www.veteransplumbingcorp.com/","0","","","","https://www.veteransplumbingcorp.com/","","Indexable",""
"https://www.veteransplumbingcorp.com/contact-us","0","","","","https://www.veteransplumbingcorp.com/contact-us","","Indexable",""
"https://www.veteransplumbingcorp.com/hot-water-heater-meridian","0","","","","https://www.veteransplumbingcorp.com/hot-water-heater-meridian","","Indexable",""
"https://www.veteransplumbingcorp.com/Water-Softener-System","0","","","","https://www.veteransplumbingcorp.com/Water-Softener-System","","Indexable",""
"https://www.veteransplumbingcorp.com/water-softeners-Kuna-id","0","","","","https://www.veteransplumbingcorp.com/water-softeners-Kuna-id","","Indexable",""
"https://www.veteransplumbingcorp.com/Residential-Plumbing-Services","0","","","","https://www.veteransplumbingcorp.com/Residential-Plumbing-Services","","Indexable",""
"https://www.veteransplumbingcorp.com/sitemap","0","","","","https://www.veteransplumbingcorp.com/sitemap","","Indexable",""
"https://www.veteransplumbingcorp.com/water-softener-eagle-idaho","0","","","","https://www.veteransplumbingcorp.com/water-softener-eagle-idaho","","Indexable",""
"https://www.veteransplumbingcorp.com/Tankless-Water-Heater","0","","","","https://www.veteransplumbingcorp.com/Tankless-Water-Heater","","Indexable",""
"https://www.veteransplumbingcorp.com/about-us","0","","","","https://www.veteransplumbingcorp.com/about-us","","Indexable",""
"https://www.veteransplumbingcorp.com/Water-Heater-Replacement","0","","","","https://www.veteransplumbingcorp.com/Water-Heater-Replacement","","Indexable",""
"https://www.veteransplumbingcorp.com/water-softeners-nampa-idaho","0","","","","https://www.veteransplumbingcorp.com/water-softeners-nampa-idaho","","Indexable",""
"https://www.veteransplumbingcorp.com/thank-you","0","","","","https://www.veteransplumbingcorp.com/thank-you","","Indexable",""
"https://www.veteransplumbingcorp.com/privacy-policy","0","","","","https://www.veteransplumbingcorp.com/privacy-policy","","Indexable",""
