"Type","Source","Destination","Alt Text","Length","Path Type","Link Path","Link Position","Link Origin","Real Dimensions","Dimensions in Attributes","Display Dimensions"
"Image","https://www.veteransplumbingcorp.com/","https://lirp.cdn-website.com/b31f3c1a/dms3rep/multi/opt/veterans-plumbing---actual-logo-178w-1920w.webp","","0","Absolute","//body/div[@id='dm']/div/div/div/div/div/div/div/div[@class='site_content']/div[@id='hamburger-header-container']/div/div/div/div[@id='1662706043']/div/a/img","Header","HTML","","",""
"Image","https://www.veteransplumbingcorp.com/contact-us","https://lirp.cdn-website.com/b31f3c1a/dms3rep/multi/opt/veterans-plumbing---actual-logo-178w-1920w.webp","","0","Absolute","//body/div[@id='dm']/div/div/div/div/div/div/div/div[@class='site_content']/div[@id='hamburger-header-container']/div/div/div/div[@id='1662706043']/div/a/img","Header","HTML","","",""
"Image","https://www.veteransplumbingcorp.com/hot-water-heater-meridian","https://lirp.cdn-website.com/b31f3c1a/dms3rep/multi/opt/veterans-plumbing---actual-logo-178w-1920w.webp","","0","Absolute","//body/div[@id='dm']/div/div/div/div/div/div/div/div[@class='site_content']/div[@id='hamburger-header-container']/div/div/div/div[@id='1662706043']/div/a/img","Header","HTML","","",""
"Image","https://www.veteransplumbingcorp.com/Water-Softener-System","https://lirp.cdn-website.com/b31f3c1a/dms3rep/multi/opt/veterans-plumbing---actual-logo-178w-1920w.webp","","0","Absolute","//body/div[@id='dm']/div/div/div/div/div/div/div/div[@class='site_content']/div[@id='hamburger-header-container']/div/div/div/div[@id='1662706043']/div/a/img","Header","HTML","","",""
"Image","https://www.veteransplumbingcorp.com/water-softeners-Kuna-id","https://lirp.cdn-website.com/b31f3c1a/dms3rep/multi/opt/veterans-plumbing---actual-logo-178w-1920w.webp","","0","Absolute","//body/div[@id='dm']/div/div/div/div/div/div/div/div[@class='site_content']/div[@id='hamburger-header-container']/div/div/div/div[@id='1662706043']/div/a/img","Header","HTML","","",""
"Image","https://www.veteransplumbingcorp.com/Residential-Plumbing-Services","https://lirp.cdn-website.com/b31f3c1a/dms3rep/multi/opt/veterans-plumbing---actual-logo-178w-1920w.webp","","0","Absolute","//body/div[@id='dm']/div/div/div/div/div/div/div/div[@class='site_content']/div[@id='hamburger-header-container']/div/div/div/div[@id='1662706043']/div/a/img","Header","HTML","","",""
"Image","https://www.veteransplumbingcorp.com/sitemap","https://lirp.cdn-website.com/b31f3c1a/dms3rep/multi/opt/veterans-plumbing---actual-logo-178w-1920w.webp","","0","Absolute","//body/div[@id='dm']/div/div/div/div/div/div/div/div[@class='site_content']/div[@id='hamburger-header-container']/div/div/div/div[@id='1662706043']/div/a/img","Header","HTML","","",""
"Image","https://www.veteransplumbingcorp.com/water-softener-eagle-idaho","https://lirp.cdn-website.com/b31f3c1a/dms3rep/multi/opt/veterans-plumbing---actual-logo-178w-1920w.webp","","0","Absolute","//body/div[@id='dm']/div/div/div/div/div/div/div/div[@class='site_content']/div[@id='hamburger-header-container']/div/div/div/div[@id='1662706043']/div/a/img","Header","HTML","","",""
"Image","https://www.veteransplumbingcorp.com/Tankless-Water-Heater","https://lirp.cdn-website.com/b31f3c1a/dms3rep/multi/opt/veterans-plumbing---actual-logo-178w-1920w.webp","","0","Absolute","//body/div[@id='dm']/div/div/div/div/div/div/div/div[@class='site_content']/div[@id='hamburger-header-container']/div/div/div/div[@id='1662706043']/div/a/img","Header","HTML","","",""
"Image","https://www.veteransplumbingcorp.com/about-us","https://lirp.cdn-website.com/b31f3c1a/dms3rep/multi/opt/veterans-plumbing---actual-logo-178w-1920w.webp","","0","Absolute","//body/div[@id='dm']/div/div/div/div/div/div/div/div[@class='site_content']/div[@id='hamburger-header-container']/div/div/div/div[@id='1662706043']/div/a/img","Header","HTML","","",""
"Image","https://www.veteransplumbingcorp.com/Water-Heater-Replacement","https://lirp.cdn-website.com/b31f3c1a/dms3rep/multi/opt/veterans-plumbing---actual-logo-178w-1920w.webp","","0","Absolute","//body/div[@id='dm']/div/div/div/div/div/div/div/div[@class='site_content']/div[@id='hamburger-header-container']/div/div/div/div[@id='1662706043']/div/a/img","Header","HTML","","",""
"Image","https://www.veteransplumbingcorp.com/water-softeners-nampa-idaho","https://lirp.cdn-website.com/b31f3c1a/dms3rep/multi/opt/veterans-plumbing---actual-logo-178w-1920w.webp","","0","Absolute","//body/div[@id='dm']/div/div/div/div/div/div/div/div[@class='site_content']/div[@id='hamburger-header-container']/div/div/div/div[@id='1662706043']/div/a/img","Header","HTML","","",""
"Image","https://www.veteransplumbingcorp.com/thank-you","https://lirp.cdn-website.com/b31f3c1a/dms3rep/multi/opt/veterans-plumbing---actual-logo-178w-1920w.webp","","0","Absolute","//body/div[@id='dm']/div/div/div/div/div/div/div/div[@class='site_content']/div[@id='hamburger-header-container']/div/div/div/div[@id='1662706043']/div/a/img","Header","HTML","","",""
"Image","https://www.veteransplumbingcorp.com/privacy-policy","https://lirp.cdn-website.com/b31f3c1a/dms3rep/multi/opt/veterans-plumbing---actual-logo-178w-1920w.webp","","0","Absolute","//body/div[@id='dm']/div/div/div/div/div/div/div/div[@class='site_content']/div[@id='hamburger-header-container']/div/div/div/div[@id='1662706043']/div/a/img","Header","HTML","","",""
